sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
37674732353,2022-07-18T05:35:00Z,67,15,21,31,40,55,0.0859504132231405
37668012181,2022-07-17T09:23:00Z,77,16,18,43,71,57,0.12628624883068287
37668012180,2022-07-16T07:55:00Z,82,18,18,46,65,58,0.09288537549407115
37637587505,2022-07-15T07:28:30Z,64,16,10,38,68,56,0.18477251624883936
37625922504,2022-07-14T06:26:00Z,63,17,11,35,56,54,0.1288723667905824
37626318323,2022-07-13T08:35:30Z,77,19,13,45,113,53,0.09663503019844694
37602027831,2022-07-12T02:53:00Z,55,15,16,24,19,54,0.19393939393939394
37590821128,2022-07-11T05:50:30Z,75,17,19,39,60,55,0.11234567901234568
37556590620,2022-07-08T07:16:00Z,77,20,14,43,73,52,0.11098779134295228
37542020931,2022-07-07T08:22:30Z,66,16,11,39,67,51,0.17117117117117117
37536715704,2022-07-06T06:10:30Z,77,20,15,42,57,51,0.08603351955307263
37526004501,2022-07-05T06:06:00Z,77,21,18,38,82,52,0.0927710843373494
37516051389,2022-07-04T05:56:00Z,76,17,23,36,70,55,0.08241758241758242
37516051388,2022-07-03T08:26:00Z,79,18,22,39,68,55,0.102803738317757
37516051387,2022-07-02T06:04:00Z,72,16,20,36,45,56,0.09162303664921466
37468743768,2022-07-01T05:39:30Z,69,16,10,43,80,54,0.15057915057915058
37461527108,2022-06-30T08:03:30Z,65,16,9,40,43,53,0.16848364717542122
37445042077,2022-06-29T03:41:00Z,57,16,14,27,42,53,0.17929759704251386
37436798826,2022-06-28T06:36:00Z,65,16,19,30,76,55,0.09420289855072464
37427699867,2022-06-27T06:53:00Z,85,21,22,42,67,57,0.09764309764309764
37416454231,2022-06-26T09:12:00Z,75,22,13,40,85,54,0.04533333333333334
37399072464,2022-06-25T05:37:30Z,62,15,12,35,59,52,0.09244992295839753
37386764042,2022-06-24T07:01:30Z,65,15,18,32,40,54,0.1776239907727797
37375512225,2022-06-23T06:33:30Z,75,15,16,44,74,56,0.12011173184357542
37363154601,2022-06-22T06:02:00Z,66,20,13,33,48,53,0.08448275862068966
37332864389,2022-06-19T06:47:30Z,74,21,19,34,72,55,0.08322981366459627
37316516465,2022-06-18T10:12:00Z,64,16,12,36,26,54,0.12485811577752554
37304152637,2022-06-17T07:31:30Z,73,17,15,41,69,55,0.13507853403141362
37291419028,2022-06-16T05:38:00Z,57,21,8,28,47,53,0.2302357836338419
37280438565,2022-06-15T06:19:30Z,63,14,17,32,45,53,0.10661268556005399
37267961855,2022-06-14T07:08:00Z,78,18,21,39,59,55,0.0944055944055944
37262369267,2022-06-13T08:16:00Z,75,16,18,41,78,56,0.10230692076228685
37242026070,2022-06-12T05:59:00Z,69,16,15,38,50,58,0.12725225225225226
37235430060,2022-06-11T08:57:30Z,77,18,13,46,75,56,0.10562685093780849
37220778646,2022-06-10T06:42:30Z,74,16,17,41,86,57,0.07415485278080698
